Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-05-25 00:00:00-04:00,3.6986983068454578,4.226428011620476,3.6895201858261855,4.22183895111084,395343000,0.0,0.0
2006-05-26 00:00:00-04:00,4.249371271126245,4.28975376297129,4.048374785581924,4.123633861541748,103044000,0.0,0.0
2006-05-30 00:00:00-04:00,4.12730632608529,4.128224050564382,3.932734294501585,4.038280487060547,49898000,0.0,0.0
2006-05-31 00:00:00-04:00,4.070400690708706,4.163097374330461,4.070400690708706,4.1245503425598145,30002000,0.0,0.0
2006-06-01 00:00:00-04:00,4.123633207043287,4.414572747651894,4.120879597160106,4.3604230880737305,62344000,0.0,0.0
2006-06-02 00:00:00-04:00,4.451285272272627,4.469641070683857,4.29434304268374,4.312698841094971,37253000,0.0,0.0
2006-06-05 00:00:00-04:00,4.318205412742036,4.520119623006292,4.313616353954954,4.510941505432129,37188000,0.0,0.0
2006-06-06 00:00:00-04:00,4.587119560908086,4.646776028552824,4.387041181996347,4.4329304695129395,49045000,0.0,0.0
2006-06-07 00:00:00-04:00,4.435681039690684,4.442105544291395,4.290670167793874,4.368682384490967,25013000,0.0,0.0
2006-06-08 00:00:00-04:00,4.3686841944219355,4.379697322845459,4.175948101277631,4.379697322845459,34439000,0.0,0.0
2006-06-09 00:00:00-04:00,4.478819680545957,4.478819680545957,4.376027110627628,4.385204792022705,13372000,0.0,0.0
2006-06-12 00:00:00-04:00,4.405395716795003,4.428340135132186,4.2493712213364905,4.309027671813965,14546000,0.0,0.0
2006-06-13 00:00:00-04:00,4.24019418461711,4.345740373943622,4.1575932947494465,4.1759490966796875,16716000,0.0,0.0
2006-06-14 00:00:00-04:00,4.120879639020514,4.171358402782756,4.078661267355065,4.141071319580078,15971000,0.0,0.0
2006-06-15 00:00:00-04:00,4.1667691621996905,4.232850107896586,4.141988862267935,4.217247486114502,16500000,0.0,0.0
2006-06-16 00:00:00-04:00,4.175947414959687,4.221836682486536,4.130057709796176,4.131893157958984,12280000,0.0,0.0
2006-06-19 00:00:00-04:00,4.171358575209436,4.171358575209436,4.047456627365978,4.069483757019043,11509000,0.0,0.0
2006-06-20 00:00:00-04:00,4.106196323465714,4.130058907046325,3.9896370162417685,4.0401153564453125,23792000,0.0,0.0
2006-06-21 00:00:00-04:00,4.040114378977572,4.210823320130188,4.038278930726761,4.157591819763184,18063000,0.0,0.0
2006-06-22 00:00:00-04:00,4.258551160174114,4.309029957621506,4.210825974475395,4.276906967163086,13038000,0.0,0.0
2006-06-23 00:00:00-04:00,4.3126985686822845,4.398971209638716,4.30168500280387,4.309027671813965,11612000,0.0,0.0
2006-06-26 00:00:00-04:00,4.30902732441772,4.359505653381348,4.26130216788337,4.359505653381348,8565000,0.0,0.0
2006-06-27 00:00:00-04:00,4.359505311931734,4.408148188799319,4.336560459604762,4.342067241668701,9826000,0.0,0.0
2006-06-28 00:00:00-04:00,4.2998468869222615,4.350325188640826,4.267724371068307,4.309942722320557,8756000,0.0,0.0
2006-06-29 00:00:00-04:00,4.309028400215642,4.413656418473534,4.309028400215642,4.405396461486816,14470000,0.0,0.0
2006-06-30 00:00:00-04:00,4.373273482638557,4.405396461486816,4.276905421367383,4.405396461486816,25964000,0.0,0.0
2006-07-03 00:00:00-04:00,4.3962171936498216,4.405395310247082,4.296178261032465,4.341149806976318,7029000,0.0,0.0
2006-07-05 00:00:00-04:00,4.350326156904307,4.390709069849163,4.286998834749232,4.368682384490967,13266000,0.0,0.0
2006-07-06 00:00:00-04:00,4.33656060054871,4.3457387168324635,4.294342228444125,4.295259952545166,8097000,0.0,0.0
2006-07-07 00:00:00-04:00,4.290671549264839,4.29984922837656,4.198892132327458,4.232850551605225,8380000,0.0,0.0
2006-07-10 00:00:00-04:00,4.240193745829661,4.274152172823068,4.232851513344728,4.266809940338135,4978000,0.0,0.0
2006-07-11 00:00:00-04:00,4.2668081899111785,4.2668081899111785,4.15759115888831,4.2539591789245605,8079000,0.0,0.0
2006-07-12 00:00:00-04:00,4.258548024983335,4.258548024983335,4.179618069276177,4.180535793304443,7672000,0.0,0.0
